state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
CT,West Hartford town,82590,177,5,0,172
CT,West Haven,82870,29,23,0,6
CT,Westbrook town,81680,9,9,0,0
CT,Weston town,83430,7,7,0,0
CT,Westport town,83500,130,62,0,68
CT,Wethersfield town,84900,9,9,0,0
CT,Willington town,85950,3,3,0,0
CT,Wilton town,86370,49,9,0,40
CT,Winchester town,86440,2,2,0,0
CT,Windham town,86790,8,8,0,0
CT,Windsor Locks town,87070,1,1,0,0
CT,Windsor town,87000,120,3,0,117
CT,Wolcott town,87560,21,21,0,0
CT,Woodbridge town,87700,25,1,8,16
CT,Woodbury town,87910,14,14,0,0
CT,Woodstock town,88190,6,6,0,0
ME,Acton town,00275,16,16,0,0
ME,Addison town,00380,16,9,0,7
ME,Albion town,00590,6,6,0,0
ME,Alexander town,00660,0,0,0,0
ME,Alfred town,00730,6,6,0,0
ME,Allagash town,00800,3,3,0,0
ME,Alna town,01010,1,1,0,0
ME,Alton town,01115,0,0,0,0
ME,Amherst town,01185,4,4,0,0
ME,Andover town,01325,0,0,0,0
ME,Anson town,01395,3,3,0,0
ME,Appleton town,01465,9,9,0,0
ME,Arrowsic town,01570,2,2,0,0
ME,Arundel town,01605,40,40,0,0
ME,Ashland town,01710,0,0,0,0
ME,Auburn,02060,82,32,4,46
ME,Augusta,02100,28,28,0,0
ME,Aurora town,02165,1,1,0,0
ME,Baileyville town,02480,3,3,0,0
ME,Baldwin town,02655,15,13,2,0
ME,Bangor,02795,67,63,4,0
ME,Bar Harbor town,02865,29,27,2,0
ME,Bath,03355,25,7,0,18
ME,Beals town,03670,0,0,0,0
ME,Beddington town,03810,0,0,0,0
ME,Belfast,03950,15,15,0,0
ME,Belgrade town,04020,36,36,0,0
ME,Belmont town,04125,4,4,0,0
ME,Benton town,04475,8,8,0,0
ME,Berwick town,04720,50,40,0,10
ME,Bethel town,04825,42,42,0,0
ME,Biddeford,04860,63,24,0,39
ME,Bingham town,05000,1,1,0,0
ME,Blaine town,05385,0,0,0,0
ME,Boothbay Harbor town,06120,12,12,0,0
ME,Boothbay town,06050,28,28,0,0
ME,Bowdoin town,06260,5,5,0,0
ME,Bowdoinham town,06365,10,10,0,0
ME,Bowerbank town,06400,0,0,0,0
ME,Bradford town,06575,3,3,0,0
